activity_id,activity_time,workload,activity_type,user_type,resource_id,project_id,additional_data
M365-2001,2025-12-18T09:00:00Z,Teams,meeting,service,meet-443,1,"{""organizer"": ""alice@acme.com"", ""duration_min"": 45}"
M365-2002,2025-12-17T11:30:12Z,Outlook,email_sent,user,msg-998,1,"{""subject"": ""Status update""}"
M365-2003,2025-12-16T14:05:05Z,OneDrive,file_created,user,file-332,2,"{""file_name"": ""spec.docx""}"
M365-2004,2025-12-15T08:45:00Z,Teams,meeting,user,meet-221,2,"{""topic"": ""Sprint planning""}"
M365-2005,2025-12-14T19:33:33Z,Outlook,email_received,user,msg-887,3,"{""from"": ""customer@beta.com""}"
M365-2006,2025-12-13T03:03:03Z,Teams,chat_message,user,msg-123,3,"{""text"": ""ping""}"
M365-2007,2025-12-12T21:21:21Z,OneDrive,file_deleted,user,file-220,4,"{""file_name"": ""old_specs.pdf""}"
M365-2008,2025-12-11T16:00:00Z,Teams,meeting,service,meet-987,4,"{""organizer"": ""service-bot"", ""duration_min"": 30}"
M365-2009,2025-12-10T07:07:07Z,Outlook,calendar_invite_sent,user,cal-441,1,"{""event"": ""Demo""}"
M365-2010,2025-12-09T23:45:01Z,OneDrive,file_created,user,file-998,1,"{""file_name"": ""budget.xlsx""}"
M365-2011,2025-12-08T12:12:12Z,Teams,meeting,user,meet-654,2,"{""topic"": ""1:1""}"
M365-2012,2025-12-07T05:05:05Z,Outlook,email_sent,user,msg-776,2,"{""subject"": ""Follow up""}"
M365-2013,2025-12-06T18:18:18Z,Teams,meeting,user,meet-332,3,"{""topic"": ""Design review""}"
M365-2014,2025-12-05T09:09:09Z,OneDrive,file_created,user,file-555,3,"{""file_name"": ""notes.txt""}"
M365-2015,2025-12-04T22:22:22Z,Teams,meeting,service,meet-210,4,"{""organizer"": ""ops@acme.com""}"
M365-2016,2025-12-03T13:13:13Z,Outlook,email_received,user,msg-664,4,"{""from"": ""partner@xyz.com""}"
M365-2017,2025-12-02T01:01:01Z,OneDrive,file_created,user,file-777,1,"{""file_name"": ""presentation.pptx""}"
M365-2018,2025-12-01T20:20:20Z,Teams,meeting,user,meet-111,1,"{""topic"": ""All-hands""}"
M365-2019,2025-11-30T06:06:06Z,Outlook,email_sent,user,msg-551,2,"{""subject"": ""Invoice""}"
M365-2020,2025-11-29T14:14:14Z,Teams,meeting,service,meet-999,2,"{""topic"": ""Automated report""}"
M365-2021,2025-11-28T19:19:19Z,OneDrive,file_created,user,file-404,3,"{""file_name"": ""readme.md""}"
M365-2022,2025-11-27T08:08:08Z,Outlook,email_received,user,msg-440,3,"{""from"": ""client@beta.com""}"
M365-2023,2025-11-26T02:02:02Z,Teams,meeting,user,meet-212,4,"{""topic"": ""Patch release""}"
M365-2024,2025-11-25T11:11:11Z,OneDrive,file_created,user,file-600,4,"{""file_name"": ""todo.txt""}"
M365-2025,2025-11-24T16:16:16Z,Outlook,email_sent,user,msg-333,1,"{""subject"": ""Welcome pack""}"
M365-2026,2025-11-23T03:03:03Z,Teams,chat_message,user,msg-212,2,"{""text"": ""standup: running late""}"
